cartao_id,conta_id,numero_cartao,tipo_cartao,bandeira,data_emissao,data_expiracao,cvv,status
CARD_00000063,ACC_00000050,4929-8425-7991-3662,Débito,Visa,2026-02-03,2027-11-03,980,Bloqueado
CARD_00000064,ACC_00000051,5291-2799-0881-1729,Pré-pago,Visa,2025-06-04,2028-03-11,541,Bloqueado
CARD_00000065,ACC_00000051,5508-6376-5991-6247,Débito,Visa,2025-12-23,2028-01-19,997,Bloqueado
CARD_00000066,ACC_00000052,5300-9818-0635-6512,Crédito,Elo,2025-07-22,2027-01-31,367,Bloqueado
CARD_00000067,ACC_00000053,5946-3688-7258-8744,Pré-pago,Mastercard,2025-05-21,2027-06-28,853,Ativo
CARD_00000068,ACC_00000054,4372-1386-5890-2601,Débito,Mastercard,2025-07-14,2027-08-05,190,Ativo
CARD_00000069,ACC_00000054,5351-9066-9849-0277,Débito,Visa,2025-06-15,2028-12-25,923,Bloqueado
CARD_00000070,ACC_00000055,4098-8392-0530-2146,Crédito,Elo,2025-10-27,2027-07-06,700,Ativo
CARD_00000071,ACC_00000056,4118-4895-5439-3769,Débito,Mastercard,2026-02-17,2027-07-07,618,Ativo
CARD_00000072,ACC_00000056,4845-1848-9476-9735,Crédito,Elo,2025-09-24,2028-11-20,700,Ativo
CARD_00000073,ACC_00000057,4416-3356-5880-4341,Crédito,Elo,2025-11-23,2026-08-02,667,Ativo
CARD_00000074,ACC_00000058,5539-4237-3334-3333,Pré-pago,Mastercard,2026-02-27,2028-07-22,209,Ativo
CARD_00000075,ACC_00000060,5908-0759-5794-7284,Crédito,Visa,2025-07-26,2026-09-25,155,Bloqueado
CARD_00000076,ACC_00000060,5780-8562-7187-5003,Crédito,Elo,2026-03-27,2027-04-15,470,Bloqueado
CARD_00000077,ACC_00000061,4843-4795-5276-3655,Crédito,Mastercard,2025-09-29,2026-11-17,685,Ativo
CARD_00000078,ACC_00000062,4143-8663-2270-2672,Pré-pago,Elo,2025-08-17,2028-05-23,423,Cancelado
CARD_00000079,ACC_00000062,5489-0612-0347-1754,Crédito,Mastercard,2025-08-04,2027-12-08,929,Cancelado
CARD_00000080,ACC_00000063,4615-9399-8245-5877,Débito,Mastercard,2025-07-07,2027-03-06,574,Bloqueado
CARD_00000081,ACC_00000066,5699-6112-5355-4496,Crédito,Mastercard,2025-11-13,2028-06-20,701,Bloqueado
CARD_00000082,ACC_00000066,5622-0234-1326-1117,Pré-pago,Visa,2026-05-04,2028-07-14,506,Bloqueado
CARD_00000083,ACC_00000069,4164-3347-2282-0055,Crédito,Mastercard,2025-08-14,2028-12-29,378,Bloqueado
CARD_00000084,ACC_00000070,4829-9796-8845-7831,Crédito,Mastercard,2025-11-11,2027-07-13,366,Ativo
CARD_00000085,ACC_00000071,4082-5478-0774-0649,Débito,Visa,2025-08-10,2027-06-03,293,Cancelado
CARD_00000086,ACC_00000072,5632-6634-1638-9448,Crédito,Mastercard,2026-02-10,2028-10-06,170,Ativo
CARD_00000087,ACC_00000072,4417-9749-7350-2080,Débito,Visa,2025-12-24,2027-02-16,228,Bloqueado
CARD_00000088,ACC_00000073,4312-0735-6475-7051,Débito,Visa,2026-01-01,2028-07-19,501,Ativo
CARD_00000089,ACC_00000074,5234-6013-6730-3718,Pré-pago,Visa,2025-09-17,2027-06-19,797,Cancelado
CARD_00000090,ACC_00000074,5208-8147-4350-3136,Crédito,Visa,2026-02-21,2028-08-07,382,Bloqueado
CARD_00000091,ACC_00000076,4009-7925-1327-1950,Débito,Mastercard,2025-06-21,2026-10-21,818,Bloqueado
CARD_00000092,ACC_00000079,4585-7306-5240-7784,Pré-pago,Elo,2025-09-09,2026-11-27,680,Ativo
CARD_00000093,ACC_00000080,5574-9821-8274-4857,Débito,Elo,2025-08-31,2027-06-09,851,Ativo
CARD_00000094,ACC_00000080,4959-3518-6387-8294,Crédito,Mastercard,2025-06-23,2027-04-11,213,Ativo
CARD_00000095,ACC_00000081,4022-0317-3109-6789,Pré-pago,Elo,2026-01-06,2026-07-06,475,Ativo
CARD_00000096,ACC_00000081,4037-1705-8650-9480,Pré-pago,Visa,2025-12-13,2026-08-04,321,Bloqueado
CARD_00000097,ACC_00000084,4863-3839-2886-1957,Pré-pago,Elo,2025-10-11,2028-11-06,206,Ativo
CARD_00000098,ACC_00000084,4868-5289-7558-5566,Pré-pago,Mastercard,2025-07-10,2027-01-18,676,Bloqueado
CARD_00000099,ACC_00000086,5577-6004-9082-4043,Débito,Mastercard,2026-05-06,2028-07-15,941,Bloqueado
CARD_00000100,ACC_00000087,4107-5224-5933-4419,Crédito,Elo,2026-01-26,2028-06-06,179,Bloqueado
CARD_00000101,ACC_00000088,5279-1940-9610-5566,Débito,Visa,2025-06-17,2028-10-02,716,Ativo
CARD_00000102,ACC_00000089,5048-0589-2583-2067,Pré-pago,Elo,2025-09-01,2026-08-17,327,Cancelado
CARD_00000103,ACC_00000089,5622-5179-0864-1686,Pré-pago,Visa,2026-03-09,2027-09-21,672,Ativo
CARD_00000104,ACC_00000090,5938-9833-1465-9116,Crédito,Mastercard,2025-11-20,2026-11-28,428,Cancelado
CARD_00000105,ACC_00000091,4425-9792-7033-5211,Pré-pago,Visa,2026-01-13,2029-01-12,735,Ativo
CARD_00000106,ACC_00000091,5051-4770-5383-3884,Pré-pago,Mastercard,2025-07-03,2028-06-02,244,Bloqueado
CARD_00000107,ACC_00000092,4698-0420-4394-0701,Crédito,Elo,2025-12-30,2028-03-25,972,Bloqueado
CARD_00000108,ACC_00000092,5104-6368-1579-8123,Pré-pago,Mastercard,2025-08-03,2028-12-20,829,Ativo
CARD_00000109,ACC_00000095,5576-2055-5438-4046,Débito,Elo,2025-12-25,2027-01-02,255,Cancelado
CARD_00000110,ACC_00000095,5216-8936-3926-4957,Pré-pago,Visa,2026-02-01,2028-03-15,241,Bloqueado
CARD_00000111,ACC_00000096,4248-2629-2518-8125,Débito,Elo,2026-05-02,2028-07-08,426,Cancelado
CARD_00000112,ACC_00000096,5474-2312-2099-4999,Débito,Elo,2026-01-19,2027-01-08,803,Ativo
CARD_00000113,ACC_00000097,4728-9752-6772-2330,Crédito,Visa,2025-12-30,2029-01-14,522,Ativo
CARD_00000114,ACC_00000098,4312-7975-7366-0965,Crédito,Elo,2025-07-29,2028-01-15,649,Bloqueado
CARD_00000115,ACC_00000098,4817-7038-8608-6803,Crédito,Mastercard,2025-10-26,2028-11-07,411,Cancelado
CARD_00000116,ACC_00000099,4649-0827-7181-2982,Crédito,Mastercard,2025-12-03,2027-08-21,125,Ativo
CARD_00000117,ACC_00000100,4714-5211-1751-8689,Débito,Mastercard,2025-08-09,2027-06-10,144,Ativo
CARD_00000118,ACC_00000101,4222-0644-7421-2309,Crédito,Visa,2025-09-25,2027-10-08,975,Cancelado
CARD_00000119,ACC_00000102,4973-3977-6719-9038,Crédito,Elo,2025-06-30,2027-12-08,939,Ativo
CARD_00000120,ACC_00000102,4220-5020-9945-1016,Débito,Visa,2025-06-07,2027-03-04,725,Bloqueado
CARD_00000121,ACC_00000103,4795-0145-5616-8147,Débito,Visa,2025-05-27,2028-10-13,381,Cancelado
CARD_00000122,ACC_00000103,5833-9019-8179-4695,Crédito,Elo,2025-07-27,2028-02-14,462,Ativo
CARD_00000123,ACC_00000104,5877-2934-3010-7139,Crédito,Mastercard,2026-04-24,2027-04-23,458,Bloqueado
CARD_00000124,ACC_00000104,4034-4144-8850-1556,Pré-pago,Elo,2025-07-06,2029-01-24,129,Ativo
CARD_00000125,ACC_00000106,5770-2727-8576-0849,Pré-pago,Elo,2025-12-07,2027-12-06,648,Ativo
CARD_00000126,ACC_00000108,5512-4056-8299-6291,Crédito,Elo,2025-12-07,2028-05-12,132,Cancelado
CARD_00000127,ACC_00000108,5173-5743-8421-5031,Crédito,Elo,2026-05-05,2028-08-12,594,Bloqueado
CARD_00000128,ACC_00000111,5845-2182-3076-8104,Débito,Elo,2025-07-17,2028-10-25,189,Cancelado
CARD_00000129,ACC_00000112,4184-0943-5334-4857,Pré-pago,Visa,2025-12-29,2026-10-16,261,Cancelado
CARD_00000130,ACC_00000115,4385-8542-4932-1495,Pré-pago,Mastercard,2026-04-22,2026-09-27,129,Cancelado
CARD_00000131,ACC_00000115,4160-1662-9979-5453,Pré-pago,Elo,2025-08-17,2026-08-05,873,Cancelado
CARD_00000132,ACC_00000116,4171-7477-3329-4562,Pré-pago,Elo,2025-11-29,2028-08-01,981,Cancelado
CARD_00000133,ACC_00000116,5701-7157-7245-9928,Débito,Mastercard,2025-05-17,2028-08-09,209,Cancelado
CARD_00000134,ACC_00000117,4487-6963-9382-7615,Débito,Elo,2025-07-19,2027-08-01,903,Cancelado
CARD_00000135,ACC_00000117,5832-1971-9975-8172,Crédito,Mastercard,2026-04-12,2028-01-19,211,Bloqueado
CARD_00000136,ACC_00000118,5570-1329-0227-8469,Pré-pago,Mastercard,2026-02-06,2026-12-13,797,Cancelado
CARD_00000137,ACC_00000118,5946-5190-9862-4058,Débito,Visa,2025-05-22,2027-12-11,940,Cancelado
CARD_00000138,ACC_00000120,4369-6566-6683-2723,Pré-pago,Mastercard,2025-11-14,2028-09-23,527,Ativo
CARD_00000139,ACC_00000121,4201-0276-2126-7969,Débito,Mastercard,2025-08-30,2027-07-25,665,Cancelado
CARD_00000140,ACC_00000122,5326-9097-3846-8950,Débito,Elo,2025-09-12,2028-05-07,477,Ativo
CARD_00000141,ACC_00000123,5128-4781-8913-7189,Crédito,Elo,2026-04-20,2028-11-27,451,Bloqueado
CARD_00000142,ACC_00000123,4778-7956-5442-0949,Crédito,Visa,2025-06-29,2027-09-13,692,Ativo
CARD_00000143,ACC_00000124,4490-4712-8144-2944,Crédito,Visa,2026-03-21,2028-01-25,278,Bloqueado
CARD_00000144,ACC_00000124,4752-4372-8051-2927,Crédito,Mastercard,2026-01-16,2028-03-23,550,Bloqueado
CARD_00000145,ACC_00000125,4395-0410-2767-4783,Crédito,Elo,2025-05-21,2027-06-20,585,Cancelado
CARD_00000146,ACC_00000125,4860-4765-8018-5694,Crédito,Mastercard,2026-01-01,2028-08-15,200,Cancelado
CARD_00000147,ACC_00000126,5739-3852-5800-1061,Pré-pago,Visa,2025-06-01,2027-08-16,459,Ativo
CARD_00000148,ACC_00000126,5430-0910-9391-1192,Crédito,Elo,2025-06-20,2027-12-17,922,Ativo
CARD_00000149,ACC_00000128,4447-1746-5421-4066,Crédito,Visa,2026-01-05,2029-01-19,932,Cancelado
CARD_00000150,ACC_00000128,4717-3962-7128-6391,Crédito,Elo,2026-01-05,2026-08-30,135,Ativo
CARD_00000151,ACC_00000130,5707-2006-4256-9087,Crédito,Mastercard,2025-10-23,2028-09-27,845,Ativo
CARD_00000152,ACC_00000130,4067-1985-5460-1585,Débito,Mastercard,2025-12-20,2028-03-10,307,Ativo
CARD_00000153,ACC_00000131,4634-6157-1732-0309,Débito,Mastercard,2025-10-30,2026-07-20,911,Bloqueado
CARD_00000154,ACC_00000131,5787-0050-5061-3878,Débito,Elo,2025-07-25,2027-01-10,173,Ativo
CARD_00000155,ACC_00000132,4707-9032-0204-1792,Pré-pago,Visa,2026-03-24,2026-09-10,609,Bloqueado
CARD_00000156,ACC_00000132,4136-5651-9825-3092,Crédito,Visa,2026-03-17,2027-02-21,244,Cancelado
CARD_00000157,ACC_00000134,5827-3902-1962-0710,Débito,Visa,2026-04-02,2028-05-09,767,Bloqueado
CARD_00000158,ACC_00000134,5672-3248-7632-9092,Pré-pago,Mastercard,2025-07-08,2029-01-14,190,Bloqueado
CARD_00000159,ACC_00000135,5608-3318-1958-8373,Crédito,Visa,2026-02-07,2026-09-09,915,Ativo
CARD_00000160,ACC_00000136,5722-0054-3645-9701,Pré-pago,Visa,2025-08-15,2026-11-13,261,Ativo
CARD_00000161,ACC_00000136,5811-3799-5635-3153,Débito,Visa,2025-10-18,2028-10-23,304,Cancelado
CARD_00000162,ACC_00000139,5062-3972-6527-3543,Crédito,Visa,2026-05-01,2028-04-24,682,Ativo
CARD_00000163,ACC_00000140,4177-6253-4929-2983,Débito,Mastercard,2025-08-23,2027-09-29,982,Ativo
CARD_00000164,ACC_00000141,5740-6335-6939-2906,Débito,Visa,2025-09-19,2028-06-06,887,Bloqueado
CARD_00000165,ACC_00000141,4686-7177-3180-6325,Crédito,Visa,2025-06-20,2026-08-17,116,Cancelado
CARD_00000166,ACC_00000142,5279-9077-2625-7016,Pré-pago,Mastercard,2025-08-19,2026-06-19,403,Cancelado
CARD_00000167,ACC_00000142,5989-3195-0850-1657,Pré-pago,Visa,2025-11-11,2027-05-27,279,Bloqueado
CARD_00000168,ACC_00000143,4832-5381-7933-5548,Pré-pago,Mastercard,2025-12-27,2026-07-11,164,Cancelado
CARD_00000169,ACC_00000143,5778-8178-8479-5137,Débito,Visa,2025-10-29,2028-11-21,283,Cancelado
CARD_00000170,ACC_00000147,4272-3804-6827-5670,Crédito,Visa,2026-04-15,2026-06-08,992,Ativo
CARD_00000171,ACC_00000148,5695-5798-8774-9242,Crédito,Visa,2025-09-12,2027-06-01,395,Ativo
CARD_00000172,ACC_00000148,4547-2928-4222-2310,Crédito,Elo,2026-03-14,2027-08-11,366,Cancelado
