conta_id,cliente_id,agencia_id,produto_id,tipo_conta,agencia,numero_conta,saldo,limite,data_abertura,status
ACC_00000022,CLI_000015,AG_0015,PROD_0014,Poupança,4396,196955,53563.55,41470.31,2026-04-21,Inativa
ACC_00000023,CLI_000016,AG_0020,PROD_0010,Corrente,5706,176319,18816.33,38084.82,2025-06-08,Bloqueada
ACC_00000024,CLI_000016,AG_0007,PROD_0008,Corrente,9341,449138,30318.8,45449.71,2026-01-29,Ativa
ACC_00000025,CLI_000017,AG_0016,PROD_0015,Corrente,9899,829417,60440.15,10225.66,2026-01-15,Bloqueada
ACC_00000026,CLI_000018,AG_0010,PROD_0007,Poupança,1436,659572,64872.13,15421.11,2025-11-14,Bloqueada
ACC_00000027,CLI_000018,AG_0016,PROD_0008,Corrente,9899,941814,98131.85,23474.52,2025-12-05,Ativa
ACC_00000028,CLI_000019,AG_0011,PROD_0007,Corrente,7229,689849,86408.48,37062.62,2026-05-09,Inativa
ACC_00000029,CLI_000019,AG_0018,PROD_0015,Investimento,4920,707275,72001.19,14759.61,2026-02-06,Inativa
ACC_00000030,CLI_000020,AG_0013,PROD_0010,Corrente,4397,623555,55064.25,47173.23,2025-11-26,Inativa
ACC_00000031,CLI_000021,AG_0016,PROD_0008,Corrente,9899,868367,79497.55,8463.29,2025-08-11,Inativa
ACC_00000032,CLI_000021,AG_0006,PROD_0015,Investimento,2946,772985,95723.69,26197.22,2026-04-09,Bloqueada
ACC_00000033,CLI_000022,AG_0001,PROD_0007,Corrente,1829,983472,63070.16,3398.4,2026-03-01,Ativa
ACC_00000034,CLI_000023,AG_0017,PROD_0008,Poupança,8247,163386,61783.52,33337.74,2025-07-06,Inativa
ACC_00000035,CLI_000024,AG_0001,PROD_0001,Investimento,1829,678440,41133.85,836.31,2025-12-28,Bloqueada
ACC_00000036,CLI_000024,AG_0010,PROD_0001,Investimento,1436,952657,69785.91,21528.66,2026-02-15,Ativa
ACC_00000037,CLI_000025,AG_0017,PROD_0003,Corrente,8247,301255,61978.08,12620.91,2025-11-17,Inativa
ACC_00000038,CLI_000026,AG_0003,PROD_0006,Poupança,4524,581294,56500.22,49511.65,2026-01-22,Inativa
ACC_00000039,CLI_000026,AG_0003,PROD_0011,Investimento,4524,896483,3168.45,20263.91,2025-11-05,Bloqueada
ACC_00000040,CLI_000027,AG_0002,PROD_0011,Corrente,9433,836986,17138.36,24992.92,2025-10-07,Bloqueada
ACC_00000041,CLI_000027,AG_0011,PROD_0010,Corrente,7229,653815,91915.22,11488.32,2025-05-28,Bloqueada
ACC_00000042,CLI_000028,AG_0009,PROD_0001,Corrente,9025,817675,92558.48,44965.58,2025-08-02,Bloqueada
ACC_00000043,CLI_000028,AG_0002,PROD_0003,Poupança,9433,116418,96146.92,29351.81,2025-05-18,Inativa
ACC_00000044,CLI_000029,AG_0010,PROD_0003,Investimento,1436,352153,56669.59,42472.12,2025-06-05,Bloqueada
ACC_00000045,CLI_000030,AG_0013,PROD_0013,Investimento,4397,246748,79049.81,34465.53,2026-04-07,Bloqueada
ACC_00000046,CLI_000030,AG_0012,PROD_0001,Corrente,3481,558320,23214.4,3800.91,2025-07-12,Bloqueada
ACC_00000047,CLI_000031,AG_0011,PROD_0001,Investimento,7229,386604,78354.81,22527.51,2026-01-21,Inativa
ACC_00000048,CLI_000031,AG_0018,PROD_0007,Poupança,4920,294760,67969.49,33033.6,2026-04-04,Bloqueada
ACC_00000049,CLI_000032,AG_0008,PROD_0012,Corrente,9446,186023,26797.2,19000.0,2025-06-27,Ativa
ACC_00000050,CLI_000032,AG_0013,PROD_0006,Poupança,4397,211726,9152.04,47148.01,2025-10-02,Inativa
ACC_00000051,CLI_000033,AG_0004,PROD_0003,Corrente,2761,296494,43097.95,27849.25,2025-08-28,Inativa
ACC_00000052,CLI_000033,AG_0004,PROD_0001,Corrente,2761,471106,55421.98,29846.23,2025-12-02,Inativa
ACC_00000053,CLI_000034,AG_0010,PROD_0007,Poupança,1436,917018,8469.95,45056.8,2026-01-13,Bloqueada
ACC_00000054,CLI_000035,AG_0013,PROD_0003,Corrente,4397,381981,30113.13,24656.2,2026-04-15,Ativa
ACC_00000055,CLI_000036,AG_0009,PROD_0007,Poupança,9025,607753,78266.66,18056.25,2026-01-11,Bloqueada
ACC_00000056,CLI_000036,AG_0016,PROD_0010,Investimento,9899,305047,45786.16,6774.48,2026-05-14,Inativa
ACC_00000057,CLI_000037,AG_0020,PROD_0007,Poupança,5706,561607,33473.62,40773.77,2025-06-18,Bloqueada
ACC_00000058,CLI_000037,AG_0005,PROD_0005,Poupança,4189,732512,94727.89,10042.57,2025-12-08,Ativa
ACC_00000059,CLI_000038,AG_0011,PROD_0005,Investimento,7229,828716,63290.25,48388.15,2026-01-13,Inativa
ACC_00000060,CLI_000038,AG_0013,PROD_0005,Poupança,4397,482746,11388.78,28192.53,2025-07-18,Bloqueada
ACC_00000061,CLI_000039,AG_0018,PROD_0001,Investimento,4920,584045,94297.49,10482.42,2025-12-19,Bloqueada
ACC_00000062,CLI_000040,AG_0014,PROD_0011,Poupança,5331,245939,63333.6,12101.06,2025-06-14,Ativa
ACC_00000063,CLI_000041,AG_0013,PROD_0002,Poupança,4397,726979,47923.47,20040.25,2025-08-31,Bloqueada
ACC_00000064,CLI_000041,AG_0014,PROD_0009,Corrente,5331,929130,96842.8,35081.71,2025-08-16,Bloqueada
ACC_00000065,CLI_000042,AG_0004,PROD_0013,Corrente,2761,789545,66469.39,8316.92,2025-07-08,Ativa
ACC_00000066,CLI_000043,AG_0011,PROD_0013,Poupança,7229,211090,1054.78,12936.92,2025-08-29,Bloqueada
ACC_00000067,CLI_000043,AG_0017,PROD_0009,Investimento,8247,821068,57523.54,22288.93,2025-10-29,Inativa
ACC_00000068,CLI_000044,AG_0012,PROD_0001,Poupança,3481,209627,29543.22,46027.38,2026-04-04,Ativa
ACC_00000069,CLI_000045,AG_0012,PROD_0005,Poupança,3481,577450,78427.0,26055.74,2025-11-20,Inativa
ACC_00000070,CLI_000046,AG_0015,PROD_0012,Investimento,4396,574425,31890.95,15013.2,2025-05-19,Ativa
ACC_00000071,CLI_000047,AG_0011,PROD_0011,Corrente,7229,810032,80005.01,46496.12,2026-01-13,Bloqueada
ACC_00000072,CLI_000048,AG_0018,PROD_0003,Poupança,4920,687044,42636.94,23102.71,2025-10-22,Bloqueada
ACC_00000073,CLI_000049,AG_0006,PROD_0011,Investimento,2946,553125,39558.24,36869.42,2026-02-05,Inativa
ACC_00000074,CLI_000050,AG_0013,PROD_0001,Investimento,4397,325230,20578.45,37616.27,2026-04-15,Bloqueada
ACC_00000075,CLI_000050,AG_0004,PROD_0013,Investimento,2761,296041,36579.3,9853.71,2026-03-20,Inativa
ACC_00000076,CLI_000051,AG_0017,PROD_0011,Poupança,8247,725969,38863.93,19627.2,2026-03-20,Inativa
ACC_00000077,CLI_000051,AG_0012,PROD_0014,Poupança,3481,747351,17252.75,33679.44,2025-12-16,Bloqueada
ACC_00000078,CLI_000052,AG_0005,PROD_0006,Corrente,4189,350161,30538.0,9152.23,2025-05-27,Ativa
ACC_00000079,CLI_000053,AG_0014,PROD_0010,Corrente,5331,702727,38371.0,9287.68,2025-06-26,Bloqueada
ACC_00000080,CLI_000053,AG_0006,PROD_0009,Corrente,2946,613426,28883.48,9354.93,2025-09-29,Bloqueada
ACC_00000081,CLI_000054,AG_0012,PROD_0001,Poupança,3481,243167,19512.85,19197.21,2025-08-03,Bloqueada
ACC_00000082,CLI_000055,AG_0014,PROD_0011,Poupança,5331,535820,71014.24,22192.59,2026-02-21,Ativa
ACC_00000083,CLI_000055,AG_0019,PROD_0001,Corrente,2647,406278,3269.51,11242.17,2025-12-21,Ativa
ACC_00000084,CLI_000056,AG_0019,PROD_0012,Poupança,2647,676429,51080.6,28635.7,2025-12-31,Bloqueada
ACC_00000085,CLI_000056,AG_0012,PROD_0009,Corrente,3481,896922,71898.02,27317.66,2025-10-12,Ativa
ACC_00000086,CLI_000057,AG_0010,PROD_0014,Corrente,1436,571578,26281.52,43109.98,2026-04-03,Inativa
ACC_00000087,CLI_000058,AG_0008,PROD_0004,Investimento,9446,716482,68913.36,43052.43,2025-07-09,Bloqueada
ACC_00000088,CLI_000059,AG_0006,PROD_0010,Corrente,2946,922974,20661.97,10347.14,2026-04-17,Bloqueada
ACC_00000089,CLI_000059,AG_0012,PROD_0009,Poupança,3481,725850,53876.85,16182.68,2025-05-22,Inativa
ACC_00000090,CLI_000060,AG_0019,PROD_0005,Investimento,2647,812296,81518.09,6779.45,2025-10-19,Ativa
ACC_00000091,CLI_000060,AG_0009,PROD_0014,Investimento,9025,233051,70142.65,6634.54,2026-03-04,Bloqueada
ACC_00000092,CLI_000061,AG_0008,PROD_0013,Investimento,9446,511776,48945.87,28871.28,2025-12-31,Bloqueada
ACC_00000093,CLI_000061,AG_0014,PROD_0007,Poupança,5331,179184,63362.78,44006.25,2026-03-31,Inativa
ACC_00000094,CLI_000062,AG_0012,PROD_0008,Poupança,3481,443187,58195.55,43445.39,2026-03-31,Bloqueada
ACC_00000095,CLI_000062,AG_0015,PROD_0011,Investimento,4396,831160,35822.27,3166.53,2025-08-17,Inativa
ACC_00000096,CLI_000063,AG_0014,PROD_0014,Corrente,5331,618746,26853.68,41417.18,2025-11-26,Bloqueada
ACC_00000097,CLI_000064,AG_0019,PROD_0014,Poupança,2647,926596,34373.96,34127.6,2026-04-23,Ativa
ACC_00000098,CLI_000065,AG_0015,PROD_0001,Corrente,4396,999312,15798.35,22825.91,2025-10-10,Ativa
ACC_00000099,CLI_000066,AG_0010,PROD_0003,Poupança,1436,197874,65458.8,12519.46,2025-11-08,Bloqueada
ACC_00000100,CLI_000067,AG_0002,PROD_0007,Investimento,9433,420349,72598.84,37761.61,2025-10-10,Bloqueada
ACC_00000101,CLI_000068,AG_0004,PROD_0001,Corrente,2761,599968,7793.87,29683.97,2025-08-25,Bloqueada
ACC_00000102,CLI_000069,AG_0001,PROD_0001,Investimento,1829,460263,81710.9,49407.75,2025-10-13,Bloqueada
ACC_00000103,CLI_000069,AG_0005,PROD_0008,Corrente,4189,340068,38306.99,36538.17,2026-03-26,Ativa
ACC_00000104,CLI_000070,AG_0012,PROD_0015,Poupança,3481,243790,38272.1,40668.4,2026-03-10,Bloqueada
ACC_00000105,CLI_000070,AG_0005,PROD_0002,Investimento,4189,690653,847.47,32501.01,2025-10-04,Inativa
ACC_00000106,CLI_000071,AG_0005,PROD_0015,Poupança,4189,746002,68656.62,42998.13,2026-04-03,Ativa
ACC_00000107,CLI_000072,AG_0004,PROD_0010,Investimento,2761,502686,35153.56,21469.44,2026-03-07,Ativa
ACC_00000108,CLI_000073,AG_0003,PROD_0004,Investimento,4524,730193,60000.79,30379.65,2025-05-29,Ativa
ACC_00000109,CLI_000073,AG_0010,PROD_0004,Investimento,1436,736408,50952.26,37392.18,2025-12-17,Bloqueada
ACC_00000110,CLI_000074,AG_0008,PROD_0008,Poupança,9446,218220,24108.18,31904.12,2026-04-11,Bloqueada
ACC_00000111,CLI_000075,AG_0012,PROD_0015,Poupança,3481,238394,38683.82,41948.67,2025-10-14,Inativa
ACC_00000112,CLI_000076,AG_0016,PROD_0013,Corrente,9899,117500,58736.35,689.67,2026-01-27,Ativa
ACC_00000113,CLI_000077,AG_0013,PROD_0009,Poupança,4397,759104,71262.91,38355.5,2025-10-13,Bloqueada
ACC_00000114,CLI_000078,AG_0003,PROD_0011,Investimento,4524,663772,61604.71,13873.39,2025-12-10,Ativa
ACC_00000115,CLI_000078,AG_0017,PROD_0015,Corrente,8247,947312,15537.71,16337.51,2025-07-21,Bloqueada
ACC_00000116,CLI_000079,AG_0010,PROD_0012,Poupança,1436,865416,95342.8,11931.87,2026-01-12,Ativa
ACC_00000117,CLI_000080,AG_0004,PROD_0008,Investimento,2761,738407,5502.86,33303.98,2025-06-15,Bloqueada
ACC_00000118,CLI_000080,AG_0006,PROD_0002,Corrente,2946,842287,13721.18,567.53,2025-09-05,Inativa
ACC_00000119,CLI_000081,AG_0006,PROD_0006,Corrente,2946,886197,78112.4,13438.22,2026-03-18,Ativa
ACC_00000120,CLI_000081,AG_0011,PROD_0013,Poupança,7229,385192,52385.42,13147.48,2025-07-26,Bloqueada
ACC_00000121,CLI_000082,AG_0016,PROD_0008,Investimento,9899,477617,5543.91,42967.99,2026-02-21,Inativa
ACC_00000122,CLI_000083,AG_0009,PROD_0013,Corrente,9025,701790,67412.04,5766.68,2025-08-30,Ativa
ACC_00000123,CLI_000084,AG_0001,PROD_0004,Corrente,1829,594681,36397.65,46011.33,2026-02-15,Ativa
ACC_00000124,CLI_000085,AG_0008,PROD_0006,Corrente,9446,536476,91585.48,15996.76,2026-04-08,Bloqueada
ACC_00000125,CLI_000085,AG_0012,PROD_0002,Investimento,3481,806033,90194.1,8967.22,2025-08-26,Ativa
ACC_00000126,CLI_000086,AG_0003,PROD_0015,Poupança,4524,396020,77352.75,15534.89,2026-04-03,Bloqueada
ACC_00000127,CLI_000086,AG_0015,PROD_0001,Poupança,4396,310418,29159.51,39225.36,2025-07-03,Ativa
ACC_00000128,CLI_000087,AG_0012,PROD_0010,Poupança,3481,910143,77588.6,36623.17,2025-08-11,Ativa
ACC_00000129,CLI_000087,AG_0005,PROD_0001,Poupança,4189,125071,23299.77,17321.18,2025-05-27,Ativa
ACC_00000130,CLI_000088,AG_0001,PROD_0013,Investimento,1829,494552,84900.6,36360.75,2026-03-25,Ativa
ACC_00000131,CLI_000088,AG_0017,PROD_0004,Poupança,8247,615929,96118.51,48627.96,2026-03-06,Bloqueada
ACC_00000132,CLI_000089,AG_0003,PROD_0001,Corrente,4524,986575,51975.92,35042.35,2025-11-08,Inativa
ACC_00000133,CLI_000089,AG_0003,PROD_0010,Corrente,4524,629979,13351.39,40998.14,2026-04-09,Bloqueada
ACC_00000134,CLI_000090,AG_0014,PROD_0011,Corrente,5331,348273,29167.6,42545.69,2025-10-28,Bloqueada
ACC_00000135,CLI_000091,AG_0011,PROD_0008,Poupança,7229,344959,7468.74,10135.63,2025-07-22,Ativa
ACC_00000136,CLI_000091,AG_0005,PROD_0002,Corrente,4189,571404,46605.51,20325.63,2025-08-16,Inativa
ACC_00000137,CLI_000092,AG_0015,PROD_0005,Poupança,4396,377880,85248.22,4521.04,2025-05-31,Inativa
ACC_00000138,CLI_000093,AG_0007,PROD_0014,Poupança,9341,255528,9121.29,12410.94,2025-11-16,Inativa
ACC_00000139,CLI_000094,AG_0010,PROD_0005,Corrente,1436,132591,95209.66,42730.07,2025-08-06,Bloqueada
ACC_00000140,CLI_000095,AG_0004,PROD_0008,Corrente,2761,942946,79380.97,6072.66,2026-04-16,Ativa
ACC_00000141,CLI_000096,AG_0007,PROD_0014,Poupança,9341,490321,68628.53,46878.74,2026-04-04,Bloqueada
ACC_00000142,CLI_000097,AG_0003,PROD_0001,Corrente,4524,307356,90249.61,22171.57,2026-03-13,Ativa
ACC_00000143,CLI_000097,AG_0011,PROD_0002,Corrente,7229,583388,5063.77,46206.59,2025-10-08,Bloqueada
ACC_00000144,CLI_000098,AG_0016,PROD_0001,Poupança,9899,816400,42666.4,17697.16,2026-02-11,Inativa
ACC_00000145,CLI_000098,AG_0009,PROD_0008,Corrente,9025,136332,61410.66,30848.86,2025-06-20,Inativa
ACC_00000146,CLI_000099,AG_0014,PROD_0015,Investimento,5331,602300,6097.91,13988.8,2026-03-08,Inativa
ACC_00000147,CLI_000099,AG_0007,PROD_0011,Investimento,9341,361250,63075.44,40108.4,2026-05-08,Inativa
ACC_00000148,CLI_000100,AG_0016,PROD_0009,Poupança,9899,460745,91267.7,25119.66,2025-10-31,Inativa
ACC_00000149,CLI_000100,AG_0006,PROD_0001,Poupança,2946,726121,21902.02,44788.24,2025-12-25,Ativa
